name;link;salary_min;salary_max;salary_currency
Python Developer (Pulse Team) /remote;https://spb.hh.ru/vacancy/46357350?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;220000.0;;руб.
Backend-разработчик Python;https://spb.hh.ru/vacancy/50616718?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Помощник DevOps Engineer;https://spb.hh.ru/vacancy/50671729?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;700.0;1500.0;USD
Junior backend developer;https://spb.hh.ru/vacancy/50388918?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
MLOps Engineer;https://spb.hh.ru/vacancy/50176578?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;320000.0;;руб.
Python Developer (Senior/Middle);https://spb.hh.ru/vacancy/50337161?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;2500.0;;USD
Backend разработчик;https://spb.hh.ru/vacancy/50739074?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;90000.0;руб.
Инженер-программист;https://spb.hh.ru/vacancy/50551458?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;40000.0;50000.0;руб.
Программист Python (удаленно);https://spb.hh.ru/vacancy/45864751?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python-разработчик Pre Middle / Middle;https://spb.hh.ru/vacancy/50731674?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;60000.0;140000.0;руб.
Python Developer;https://spb.hh.ru/vacancy/50118331?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python Backend Developer / QA Automation;https://spb.hh.ru/vacancy/50749513?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;150000.0;;руб.
Старший разработчик Python;https://spb.hh.ru/vacancy/50062705?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;400000.0;руб.
Back-end разработчик (Python);https://spb.hh.ru/vacancy/43325863?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Middle Data Analyst (Remote);https://spb.hh.ru/vacancy/49445542?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
BI разработчик / Data Analyst SQL;https://spb.hh.ru/vacancy/50591121?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;90000.0;;руб.
Python developer;https://spb.hh.ru/vacancy/50765554?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик ботов (Python & JS);https://spb.hh.ru/vacancy/50362214?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик Python;https://spb.hh.ru/vacancy/47381562?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python developer;https://spb.hh.ru/vacancy/50765549?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python developer (Ds направление);https://spb.hh.ru/vacancy/45811421?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python developer (Middle / Senior);https://spb.hh.ru/vacancy/50674864?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;350000.0;руб.
System developer С++ / Python (middleware);https://spb.hh.ru/vacancy/50708157?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Tech Lead Data Analyst;https://spb.hh.ru/vacancy/50738926?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
Python developer;https://spb.hh.ru/vacancy/49783294?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python-разработчик;https://spb.hh.ru/vacancy/46422522?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;;руб.
Team Lead (Python);https://spb.hh.ru/vacancy/50677960?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;350000.0;руб.
Разработчик на Solidity (middle);https://spb.hh.ru/vacancy/50295960?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;300000.0;руб.
Программист Python;https://spb.hh.ru/vacancy/46908066?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;150000.0;руб.
Junior QA Automation engineer;https://spb.hh.ru/vacancy/50769272?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Middle Python developer (релокация в Сочи);https://spb.hh.ru/vacancy/48698686?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;150000.0;;руб.
Data engineer / SQL-разработчик;https://spb.hh.ru/vacancy/45266641?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;150000.0;175000.0;руб.
Преподаватель по информатике;https://spb.hh.ru/vacancy/50683366?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;275000.0;460000.0;руб.
Embedded developer;https://spb.hh.ru/vacancy/50531776?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;800.0;2000.0;USD
Data Engineer (Senior);https://spb.hh.ru/vacancy/49991403?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;350000.0;500000.0;руб.
Python Developer (Data Engineer);https://spb.hh.ru/vacancy/48004479?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
